ANO,MES,CODIGO_RNT,COD_MUN,COD_DPTO,ESTADO_RNT,RAZON_SOCIAL_ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,CATEGORIA,SUB_CATEGORIA,HABITACIONES,CAMAS,NUM_EMP
2024,1,63848,27001,27,ACTIVO,HOTEL PALOQUEMAO TUTUNENDO,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,20,30,3
2024,1,63873,27495,27,ACTIVO,ECO HOTEL ARENA AZUL,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,6,11,1
2024,3,64186,27077,27,ACTIVO,RESTAURANTE Y HOTEL EL BUEN GUSTO DE PIZARRO,CHOCO,BAJO BAUDO (PIZARRO),ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,34,34,0
2024,2,65899,27075,27,ACTIVO,BLACK SANDS FISHING,CHOCO,BAHIA SOLANO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES OPERADORAS,0,0,2
2024,3,65900,27495,27,ACTIVO,PIEDRA PIEDRA LODGE,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,22,22,2
2024,3,66082,27361,27,ACTIVO,HOTEL EL MANERO,CHOCO,ISTMINA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,18,22,0
2024,2,66188,27006,27,ACTIVO,HOTEL BAHIA PINORROA LODGE CAPURGANA,CHOCO,ACANDI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,44,98,16
2024,3,66645,27006,27,ACTIVO,RUIZ GONZALEZ MARIA EUGENIA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,OTRO TIPO DE VIVIENDA TURÍSTICA,1,26,0
2024,3,69214,27006,27,ACTIVO,CABAÑAS ANAYANSI,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),18,25,0
2024,4,69222,27001,27,ACTIVO,ILEWA,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES OPERADORAS,0,0,1
2024,4,70199,27245,27,ACTIVO,HOTEL C. PLAZA,CHOCO,EL CARMEN,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,21,36,0
2024,3,70229,27361,27,ACTIVO,HOTEL ESTACIÓN LA 7,CHOCO,ISTMINA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,20,20,0
2024,3,70950,27495,27,ACTIVO,POSADA NATIVA HANNANY,CHOCO,NUQUI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),1,6,0
2024,3,71638,27495,27,ACTIVO,OBEGA PACIFIC,CHOCO,NUQUI,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,16,40,4
